id,organism,fasta_file,title,description,is_shown
172,115,/usr/local/i5k/media/blast/db/GCF_027943255.1_idAnaObli1_1.0_translated_cds.faa,GCF_027943255.1_idAnaObli1_1.0_translated_cds.faa,"Anastrepha obliqua NCBI Annotation release GCF_027943255.1-RS_2023_03, translated CDS",True
158,107,/usr/local/i5k/media/blast/db/GCF_022605725.1_icAntGran1.3_translated_cds.faa,GCF_022605725.1_icAntGran1.3_translated_cds.faa,"Anthonomus grandis grandis NCBI Annotation release 100, translated CDS",True
166,72,/usr/local/i5k/media/blast/db/GCF_000188095.3_BIMP_2.2_translated_cds.faa,GCF_000188095.3_BIMP_2.2_translated_cds.faa,"Bombus impatiens NCBI Annotation release 103, translated CDS",True
165,112,/usr/local/i5k/media/blast/db/GCF_023375885.1_qqDerAnde1.2_translated_cds.faa,GCF_023375885.1_qqDerAnde1.2_translated_cds.faa,"Dermacentor andersoni NCBI Annotation release 100, translated CDS",True
178,121,/usr/local/i5k/media/blast/db/GCF_026250575.1_icDioCari1.1_translated_cds.faa,GCF_026250575.1_icDioCari1.1_translated_cds.faa,"Diorhabda carinulata NCBI Annotation release GCF_026250575.1-RS_2023_06, translated CDS",True
155,104,/usr/local/i5k/media/blast/db/GCF_023897955.1_iqSchGreg1.2_protein.faa,GCF_023897955.1_iqSchGreg1.2_protein.faa,"Schistocerca gregaria NCBI Annotation release 100, translated CDS",True
156,105,/usr/local/i5k/media/blast/db/GCF_023898315.1_iqSchNite1.1_protein.faa,GCF_023898315.1_iqSchNite1.1_protein.faa,"Schistocerca nitens NCBI Annotation release 100, translated CDS",True
157,106,/usr/local/i5k/media/blast/db/GCF_023864345.2_iqSchSeri2.2_protein.faa,GCF_023864345.2_iqSchSeri2.2_protein.faa,"Schistocerca serialis NCBI Annotation release 100, translated CDS",True
175,118,/usr/local/i5k/media/blast/db/GCF_028554725.1_idZeuCucr1.2_translated_cds.faa,GCF_028554725.1_idZeuCucr1.2_translated_cds.faa,"Zeugodacus cucurbitae NCBI Annotation release GCF_028554725.1-RS_2023_03, translated CDS",True
234,42,/usr/local/i5k/media/blast/db/Bactrocera_dorsalis_Bdor_v1_MAKER_annotations-BDOR1.1_pep.fa,Bactrocera_dorsalis_Bdor_v1_MAKER_annotations-BDOR1.1_pep.fa,"Bactrocera dorsalis Bdor_v1 MAKER annotations - BDOR1.1, translated CDS",True
133,88,/usr/local/i5k/media/blast/db/Bradysia_coprophila.Bcop_v1.0_proteins_with_putative_function.fasta,Bradysia_coprophila.Bcop_v1.0_proteins_with_putative_function.fasta,"Bradysia_coprophila.Bcop_v1.0, proteins",True
219,38,/usr/local/i5k/media/blast/db/CAQU.Models-Caqu_2.0_pep.fa,CAQU.Models-Caqu_2.0_pep.fa,"Catajapyx aquilonaris BCM 0.5.3, translated CDS",True
218,68,/usr/local/i5k/media/blast/db/GCA_002192655.3_ASM219265v3_translated_cds.faa,GCA_002192655.3_ASM219265v3_translated_cds.faa,"Mamestra configurata (GCA_002192655.3), translated CDS",True
